iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,1,10,40,350,0,1782742909.2556,touchpad
1,1,10,40,350,1,1782742910.5725,touchpad
1,1,10,40,350,2,1782742911.9961,touchpad
1,1,10,40,350,3,1782742913.3505,touchpad
1,1,10,40,350,4,1782742914.6117,touchpad
1,1,10,40,350,5,1782742915.9733,touchpad
1,1,10,40,350,6,1782742917.3449,touchpad
1,1,10,40,350,7,1782742918.6613,touchpad
1,1,10,40,350,8,1782742920.0002,touchpad
1,1,10,40,350,9,1782742921.4944,touchpad
2,1,10,40,350,0,1782742922.5112,touchpad
2,1,10,40,350,1,1782742923.9178,touchpad
2,1,10,40,350,2,1782742925.7167,touchpad
2,1,10,40,350,3,1782742927.0851,touchpad
2,1,10,40,350,4,1782742928.311,touchpad
2,1,10,40,350,5,1782742929.6161,touchpad
2,1,10,40,350,6,1782742930.8371,touchpad
2,1,10,40,350,7,1782742932.2204,touchpad
2,1,10,40,350,8,1782742933.469,touchpad
2,1,10,40,350,9,1782742934.8671,touchpad
