iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,2,10,30,400,0,1782673788.8483,latency
1,2,10,30,400,1,1782673790.5608,latency
1,2,10,30,400,2,1782673792.0759,latency
1,2,10,30,400,3,1782673793.3346,latency
1,2,10,30,400,4,1782673794.8099,latency
1,2,10,30,400,5,1782673796.1666,latency
1,2,10,30,400,6,1782673797.594,latency
1,2,10,30,400,7,1782673798.9992,latency
1,2,10,30,400,8,1782673800.7805,latency
1,2,10,30,400,9,1782673802.1543,latency
2,2,10,30,400,0,1782673803.855,latency
2,2,10,30,400,1,1782673805.4051,latency
2,2,10,30,400,2,1782673806.9239,latency
2,2,10,30,400,3,1782673808.3032,latency
2,2,10,30,400,4,1782673810.1416,latency
2,2,10,30,400,5,1782673811.2846,latency
2,2,10,30,400,6,1782673812.4767,latency
2,2,10,30,400,7,1782673813.9877,latency
2,2,10,30,400,8,1782673815.3452,latency
2,2,10,30,400,9,1782673816.7845,latency
