iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,2,10,50,350,0,1782673398.1769,mouse
1,2,10,50,350,1,1782673398.7311,mouse
1,2,10,50,350,2,1782673399.2765,mouse
1,2,10,50,350,3,1782673399.8392,mouse
1,2,10,50,350,4,1782673400.553,mouse
1,2,10,50,350,5,1782673400.989,mouse
1,2,10,50,350,6,1782673401.4285,mouse
1,2,10,50,350,7,1782673401.8475,mouse
1,2,10,50,350,8,1782673403.17,mouse
1,2,10,50,350,9,1782673403.6394,mouse
2,2,10,50,350,0,1782673404.0554,mouse
2,2,10,50,350,1,1782673404.6106,mouse
2,2,10,50,350,2,1782673405.0388,mouse
2,2,10,50,350,3,1782673405.9055,mouse
2,2,10,50,350,4,1782673406.3975,mouse
2,2,10,50,350,5,1782673406.8785,mouse
2,2,10,50,350,6,1782673407.3889,mouse
2,2,10,50,350,7,1782673407.8656,mouse
2,2,10,50,350,8,1782673408.5334,mouse
2,2,10,50,350,9,1782673409.0157,mouse
0,2,10,30,400,0,1782673409.5038,mouse
0,2,10,30,400,1,1782673410.2369,mouse
0,2,10,30,400,2,1782673410.8305,mouse
0,2,10,30,400,3,1782673411.5129,mouse
0,2,10,30,400,4,1782673412.0381,mouse
0,2,10,30,400,5,1782673412.9936,mouse
0,2,10,30,400,6,1782673413.6068,mouse
0,2,10,30,400,7,1782673414.1124,mouse
0,2,10,30,400,8,1782673414.917,mouse
0,2,10,30,400,9,1782673415.4414,mouse
1,2,10,30,400,0,1782673415.9668,mouse
1,2,10,30,400,1,1782673416.7276,mouse
1,2,10,30,400,2,1782673417.275,mouse
1,2,10,30,400,3,1782673417.9096,mouse
1,2,10,30,400,4,1782673418.5291,mouse
1,2,10,30,400,5,1782673419.0717,mouse
1,2,10,30,400,6,1782673419.7371,mouse
1,2,10,30,400,7,1782673420.3456,mouse
1,2,10,30,400,8,1782673421.5881,mouse
1,2,10,30,400,9,1782673422.3855,mouse
2,2,10,30,400,0,1782673422.95,mouse
2,2,10,30,400,1,1782673423.7555,mouse
2,2,10,30,400,2,1782673424.3737,mouse
2,2,10,30,400,3,1782673425.0049,mouse
2,2,10,30,400,4,1782673425.8097,mouse
2,2,10,30,400,5,1782673427.0109,mouse
2,2,10,30,400,6,1782673427.5644,mouse
2,2,10,30,400,7,1782673428.1138,mouse
2,2,10,30,400,8,1782673429.0288,mouse
2,2,10,30,400,9,1782673429.8048,mouse
0,2,10,50,300,0,1782673430.3174,mouse
0,2,10,50,300,1,1782673430.7724,mouse
0,2,10,50,300,2,1782673431.1275,mouse
0,2,10,50,300,3,1782673431.6618,mouse
0,2,10,50,300,4,1782673432.0546,mouse
0,2,10,50,300,5,1782673432.4997,mouse
0,2,10,50,300,6,1782673432.9806,mouse
0,2,10,50,300,7,1782673433.4137,mouse
0,2,10,50,300,8,1782673433.9245,mouse
0,2,10,50,300,9,1782673434.4284,mouse
1,2,10,50,300,0,1782673434.805,mouse
1,2,10,50,300,1,1782673435.271,mouse
1,2,10,50,300,2,1782673435.6987,mouse
1,2,10,50,300,3,1782673436.1879,mouse
1,2,10,50,300,4,1782673436.728,mouse
1,2,10,50,300,5,1782673437.2653,mouse
1,2,10,50,300,6,1782673437.8094,mouse
1,2,10,50,300,7,1782673438.2097,mouse
1,2,10,50,300,8,1782673438.7617,mouse
1,2,10,50,300,9,1782673439.4226,mouse
2,2,10,50,300,0,1782673439.8424,mouse
2,2,10,50,300,1,1782673440.217,mouse
2,2,10,50,300,2,1782673440.5937,mouse
2,2,10,50,300,3,1782673441.0424,mouse
2,2,10,50,300,4,1782673441.4754,mouse
2,2,10,50,300,5,1782673442.0363,mouse
2,2,10,50,300,6,1782673442.528,mouse
2,2,10,50,300,7,1782673443.0511,mouse
2,2,10,50,300,8,1782673443.5205,mouse
2,2,10,50,300,9,1782673443.9596,mouse
0,2,10,30,350,0,1782673444.5824,mouse
0,2,10,30,350,1,1782673446.0994,mouse
0,2,10,30,350,2,1782673446.7172,mouse
0,2,10,30,350,3,1782673447.4145,mouse
0,2,10,30,350,4,1782673448.0475,mouse
0,2,10,30,350,5,1782673448.7242,mouse
0,2,10,30,350,6,1782673449.6139,mouse
0,2,10,30,350,7,1782673450.2104,mouse
0,2,10,30,350,8,1782673450.7918,mouse
0,2,10,30,350,9,1782673451.3941,mouse
1,2,10,30,350,0,1782673452.006,mouse
1,2,10,30,350,1,1782673452.6983,mouse
1,2,10,30,350,2,1782673453.2113,mouse
1,2,10,30,350,3,1782673453.7642,mouse
1,2,10,30,350,4,1782673454.2899,mouse
1,2,10,30,350,5,1782673454.9774,mouse
1,2,10,30,350,6,1782673455.5908,mouse
1,2,10,30,350,7,1782673456.1379,mouse
1,2,10,30,350,8,1782673456.8083,mouse
1,2,10,30,350,9,1782673457.3165,mouse
2,2,10,30,350,0,1782673457.7859,mouse
2,2,10,30,350,1,1782673458.7261,mouse
2,2,10,30,350,2,1782673459.1964,mouse
2,2,10,30,350,3,1782673460.9075,mouse
2,2,10,30,350,4,1782673461.6016,mouse
2,2,10,30,350,5,1782673462.2424,mouse
2,2,10,30,350,6,1782673462.7059,mouse
2,2,10,30,350,7,1782673463.2775,mouse
2,2,10,30,350,8,1782673464.1126,mouse
2,2,10,30,350,9,1782673464.6899,mouse
0,2,10,40,350,0,1782673465.1391,mouse
0,2,10,40,350,1,1782673465.7465,mouse
0,2,10,40,350,2,1782673466.2317,mouse
0,2,10,40,350,3,1782673467.1607,mouse
0,2,10,40,350,4,1782673467.5871,mouse
0,2,10,40,350,5,1782673468.4006,mouse
0,2,10,40,350,6,1782673469.2428,mouse
0,2,10,40,350,7,1782673469.8906,mouse
0,2,10,40,350,8,1782673470.3558,mouse
0,2,10,40,350,9,1782673470.8293,mouse
1,2,10,40,350,0,1782673471.1728,mouse
1,2,10,40,350,1,1782673471.8626,mouse
1,2,10,40,350,2,1782673472.2842,mouse
1,2,10,40,350,3,1782673472.8671,mouse
1,2,10,40,350,4,1782673473.4485,mouse
1,2,10,40,350,5,1782673474.1163,mouse
1,2,10,40,350,6,1782673474.6581,mouse
1,2,10,40,350,7,1782673475.1927,mouse
1,2,10,40,350,8,1782673475.6938,mouse
1,2,10,40,350,9,1782673476.2155,mouse
2,2,10,40,350,0,1782673476.6146,mouse
2,2,10,40,350,1,1782673477.6588,mouse
2,2,10,40,350,2,1782673478.1503,mouse
2,2,10,40,350,3,1782673478.8308,mouse
2,2,10,40,350,4,1782673479.4306,mouse
2,2,10,40,350,5,1782673479.8999,mouse
2,2,10,40,350,6,1782673480.3463,mouse
2,2,10,40,350,7,1782673480.8323,mouse
2,2,10,40,350,8,1782673481.6581,mouse
2,2,10,40,350,9,1782673482.1945,mouse
0,2,10,50,400,0,1782673482.6793,mouse
0,2,10,50,400,1,1782673483.2555,mouse
0,2,10,50,400,2,1782673483.7385,mouse
0,2,10,50,400,3,1782673484.2616,mouse
0,2,10,50,400,4,1782673484.6729,mouse
0,2,10,50,400,5,1782673485.1755,mouse
0,2,10,50,400,6,1782673485.6368,mouse
0,2,10,50,400,7,1782673486.2525,mouse
0,2,10,50,400,8,1782673486.7755,mouse
0,2,10,50,400,9,1782673487.2363,mouse
1,2,10,50,400,0,1782673487.6758,mouse
1,2,10,50,400,1,1782673488.2589,mouse
1,2,10,50,400,2,1782673488.7089,mouse
1,2,10,50,400,3,1782673489.2728,mouse
1,2,10,50,400,4,1782673489.7394,mouse
1,2,10,50,400,5,1782673490.2366,mouse
