iteration,pid,path_w,path_d,success,start_timestamp,end_timestamp,input_mode
1,1,50,1000,False,1782744911.686,1782744912.8723,mouse
2,1,50,1000,True,1782744916.2938,1782744919.2751,mouse
3,1,50,1000,True,1782744920.9903,1782744923.546,mouse
