iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,2,10,50,350,0,1782673398.1769,mouse
1,2,10,50,350,1,1782673398.7311,mouse
1,2,10,50,350,2,1782673399.2765,mouse
1,2,10,50,350,3,1782673399.8392,mouse
1,2,10,50,350,4,1782673400.553,mouse
1,2,10,50,350,5,1782673400.989,mouse
1,2,10,50,350,6,1782673401.4285,mouse
1,2,10,50,350,7,1782673401.8475,mouse
1,2,10,50,350,8,1782673403.17,mouse
1,2,10,50,350,9,1782673403.6394,mouse
2,2,10,50,350,0,1782673404.0554,mouse
2,2,10,50,350,1,1782673404.6106,mouse
2,2,10,50,350,2,1782673405.0388,mouse
2,2,10,50,350,3,1782673405.9055,mouse
2,2,10,50,350,4,1782673406.3975,mouse
2,2,10,50,350,5,1782673406.8785,mouse
2,2,10,50,350,6,1782673407.3889,mouse
2,2,10,50,350,7,1782673407.8656,mouse
2,2,10,50,350,8,1782673408.5334,mouse
2,2,10,50,350,9,1782673409.0157,mouse
0,2,10,30,400,0,1782673409.5038,mouse
0,2,10,30,400,1,1782673410.2369,mouse
0,2,10,30,400,2,1782673410.8305,mouse
0,2,10,30,400,3,1782673411.5129,mouse
0,2,10,30,400,4,1782673412.0381,mouse
0,2,10,30,400,5,1782673412.9936,mouse
0,2,10,30,400,6,1782673413.6068,mouse
0,2,10,30,400,7,1782673414.1124,mouse
0,2,10,30,400,8,1782673414.917,mouse
0,2,10,30,400,9,1782673415.4414,mouse
1,2,10,30,400,0,1782673415.9668,mouse
1,2,10,30,400,1,1782673416.7276,mouse
1,2,10,30,400,2,1782673417.275,mouse
1,2,10,30,400,3,1782673417.9096,mouse
1,2,10,30,400,4,1782673418.5291,mouse
1,2,10,30,400,5,1782673419.0717,mouse
1,2,10,30,400,6,1782673419.7371,mouse
1,2,10,30,400,7,1782673420.3456,mouse
1,2,10,30,400,8,1782673421.5881,mouse
1,2,10,30,400,9,1782673422.3855,mouse
2,2,10,30,400,0,1782673422.95,mouse
2,2,10,30,400,1,1782673423.7555,mouse
2,2,10,30,400,2,1782673424.3737,mouse
2,2,10,30,400,3,1782673425.0049,mouse
2,2,10,30,400,4,1782673425.8097,mouse
2,2,10,30,400,5,1782673427.0109,mouse
2,2,10,30,400,6,1782673427.5644,mouse
2,2,10,30,400,7,1782673428.1138,mouse
2,2,10,30,400,8,1782673429.0288,mouse
2,2,10,30,400,9,1782673429.8048,mouse
0,2,10,50,300,0,1782673430.3174,mouse
0,2,10,50,300,1,1782673430.7724,mouse
0,2,10,50,300,2,1782673431.1275,mouse
0,2,10,50,300,3,1782673431.6618,mouse
0,2,10,50,300,4,1782673432.0546,mouse
0,2,10,50,300,5,1782673432.4997,mouse
0,2,10,50,300,6,1782673432.9806,mouse
0,2,10,50,300,7,1782673433.4137,mouse
0,2,10,50,300,8,1782673433.9245,mouse
0,2,10,50,300,9,1782673434.4284,mouse
1,2,10,50,300,0,1782673434.805,mouse
1,2,10,50,300,1,1782673435.271,mouse
1,2,10,50,300,2,1782673435.6987,mouse
1,2,10,50,300,3,1782673436.1879,mouse
1,2,10,50,300,4,1782673436.728,mouse
1,2,10,50,300,5,1782673437.2653,mouse
1,2,10,50,300,6,1782673437.8094,mouse
1,2,10,50,300,7,1782673438.2097,mouse
1,2,10,50,300,8,1782673438.7617,mouse
1,2,10,50,300,9,1782673439.4226,mouse
2,2,10,50,300,0,1782673439.8424,mouse
2,2,10,50,300,1,1782673440.217,mouse
2,2,10,50,300,2,1782673440.5937,mouse
2,2,10,50,300,3,1782673441.0424,mouse
2,2,10,50,300,4,1782673441.4754,mouse
2,2,10,50,300,5,1782673442.0363,mouse
2,2,10,50,300,6,1782673442.528,mouse
2,2,10,50,300,7,1782673443.0511,mouse
2,2,10,50,300,8,1782673443.5205,mouse
2,2,10,50,300,9,1782673443.9596,mouse
