iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,1,10,40,350,0,1782742007.6783,mouse
1,1,10,40,350,1,1782742008.6339,mouse
1,1,10,40,350,2,1782742009.6235,mouse
1,1,10,40,350,3,1782742010.4465,mouse
1,1,10,40,350,4,1782742011.2092,mouse
1,1,10,40,350,5,1782742012.0388,mouse
1,1,10,40,350,6,1782742012.7046,mouse
1,1,10,40,350,7,1782742013.3008,mouse
1,1,10,40,350,8,1782742014.1711,mouse
1,1,10,40,350,9,1782742014.8468,mouse
2,1,10,40,350,0,1782742015.3986,mouse
2,1,10,40,350,1,1782742016.2038,mouse
2,1,10,40,350,2,1782742017.0564,mouse
2,1,10,40,350,3,1782742017.9619,mouse
2,1,10,40,350,4,1782742018.8452,mouse
2,1,10,40,350,5,1782742019.7555,mouse
2,1,10,40,350,6,1782742020.5407,mouse
2,1,10,40,350,7,1782742021.3692,mouse
2,1,10,40,350,8,1782742022.0519,mouse
2,1,10,40,350,9,1782742022.9047,mouse
