iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,1,10,50,350,0,1782742298.6374,pose
1,1,10,50,350,1,1782742300.5144,pose
1,1,10,50,350,2,1782742301.7025,pose
1,1,10,50,350,3,1782742303.4037,pose
1,1,10,50,350,4,1782742305.0525,pose
1,1,10,50,350,5,1782742306.7375,pose
1,1,10,50,350,6,1782742308.3396,pose
1,1,10,50,350,7,1782742311.9338,pose
1,1,10,50,350,8,1782742314.4309,pose
1,1,10,50,350,9,1782742316.4794,pose
2,1,10,50,350,0,1782742319.7783,pose
2,1,10,50,350,1,1782742320.9913,pose
2,1,10,50,350,2,1782742322.5022,pose
2,1,10,50,350,3,1782742324.1864,pose
2,1,10,50,350,4,1782742325.8506,pose
2,1,10,50,350,5,1782742327.2037,pose
2,1,10,50,350,6,1782742328.3256,pose
2,1,10,50,350,7,1782742331.2189,pose
2,1,10,50,350,8,1782742333.0489,pose
2,1,10,50,350,9,1782742335.0614,pose
0,1,10,30,350,0,1782742336.2459,pose
0,1,10,30,350,1,1782742338.8544,pose
0,1,10,30,350,2,1782742342.0736,pose
0,1,10,30,350,3,1782742344.5942,pose
0,1,10,30,350,4,1782742347.7802,pose
0,1,10,30,350,5,1782742349.9195,pose
0,1,10,30,350,6,1782742351.428,pose
0,1,10,30,350,7,1782742352.8684,pose
0,1,10,30,350,8,1782742354.397,pose
0,1,10,30,350,9,1782742356.1649,pose
1,1,10,30,350,0,1782742357.2294,pose
1,1,10,30,350,1,1782742359.4136,pose
1,1,10,30,350,2,1782742361.4533,pose
1,1,10,30,350,3,1782742363.5123,pose
1,1,10,30,350,4,1782742365.5215,pose
1,1,10,30,350,5,1782742367.1648,pose
1,1,10,30,350,6,1782742368.7169,pose
1,1,10,30,350,7,1782742370.1771,pose
1,1,10,30,350,8,1782742371.6866,pose
1,1,10,30,350,9,1782742373.7414,pose
2,1,10,30,350,0,1782742375.2541,pose
2,1,10,30,350,1,1782742377.7717,pose
2,1,10,30,350,2,1782742380.7948,pose
2,1,10,30,350,3,1782742383.8116,pose
2,1,10,30,350,4,1782742385.3797,pose
2,1,10,30,350,5,1782742387.4787,pose
2,1,10,30,350,6,1782742395.4289,pose
2,1,10,30,350,7,1782742397.1498,pose
2,1,10,30,350,8,1782742400.6879,pose
2,1,10,30,350,9,1782742403.7101,pose
0,1,10,40,400,0,1782742407.9103,pose
0,1,10,40,400,1,1782742409.6254,pose
0,1,10,40,400,2,1782742411.8409,pose
0,1,10,40,400,3,1782742413.4448,pose
0,1,10,40,400,4,1782742414.9785,pose
0,1,10,40,400,5,1782742416.9939,pose
0,1,10,40,400,6,1782742419.5122,pose
0,1,10,40,400,7,1782742421.5237,pose
0,1,10,40,400,8,1782742423.0325,pose
0,1,10,40,400,9,1782742425.0453,pose
1,1,10,40,400,0,1782742426.437,pose
1,1,10,40,400,1,1782742428.9494,pose
1,1,10,40,400,2,1782742430.4565,pose
1,1,10,40,400,3,1782742432.4698,pose
1,1,10,40,400,4,1782742434.9902,pose
1,1,10,40,400,5,1782742436.5025,pose
1,1,10,40,400,6,1782742439.0749,pose
1,1,10,40,400,7,1782742441.5897,pose
1,1,10,40,400,8,1782742446.1203,pose
1,1,10,40,400,9,1782742448.1316,pose
2,1,10,40,400,0,1782742449.1337,pose
2,1,10,40,400,1,1782742451.6545,pose
2,1,10,40,400,2,1782742453.6658,pose
2,1,10,40,400,3,1782742455.7473,pose
2,1,10,40,400,4,1782742457.7611,pose
2,1,10,40,400,5,1782742459.3413,pose
2,1,10,40,400,6,1782742463.0671,pose
2,1,10,40,400,7,1782742464.5995,pose
2,1,10,40,400,8,1782742466.609,pose
2,1,10,40,400,9,1782742468.308,pose
0,1,10,30,300,0,1782742481.6847,pose
0,1,10,30,300,1,1782742493.1002,pose
0,1,10,30,300,2,1782742499.9239,pose
0,1,10,30,300,3,1782742511.403,pose
0,1,10,30,300,4,1782742516.5652,pose
0,1,10,30,300,5,1782742519.5976,pose
0,1,10,30,300,6,1782742521.4772,pose
0,1,10,30,300,7,1782742523.6722,pose
0,1,10,30,300,8,1782742525.6846,pose
0,1,10,30,300,9,1782742527.0346,pose
1,1,10,30,300,0,1782742528.7423,pose
1,1,10,30,300,1,1782742530.6478,pose
1,1,10,30,300,2,1782742532.7079,pose
1,1,10,30,300,3,1782742533.8084,pose
1,1,10,30,300,4,1782742535.3145,pose
1,1,10,30,300,5,1782742537.0368,pose
1,1,10,30,300,6,1782742539.8621,pose
1,1,10,30,300,7,1782742542.2948,pose
1,1,10,30,300,8,1782742543.8562,pose
1,1,10,30,300,9,1782742545.5075,pose
2,1,10,30,300,0,1782742546.9113,pose
2,1,10,30,300,1,1782742548.6965,pose
2,1,10,30,300,2,1782742550.7025,pose
2,1,10,30,300,3,1782742552.4823,pose
2,1,10,30,300,4,1782742555.5095,pose
2,1,10,30,300,5,1782742557.5218,pose
2,1,10,30,300,6,1782742559.029,pose
2,1,10,30,300,7,1782742561.0496,pose
2,1,10,30,300,8,1782742563.0624,pose
2,1,10,30,300,9,1782742565.0699,pose
0,1,10,50,400,0,1782742571.5716,pose
0,1,10,50,400,1,1782742573.6699,pose
0,1,10,50,400,2,1782742575.2374,pose
0,1,10,50,400,3,1782742576.7438,pose
0,1,10,50,400,4,1782742578.1348,pose
0,1,10,50,400,5,1782742579.5575,pose
0,1,10,50,400,6,1782742585.7503,pose
0,1,10,50,400,7,1782742587.1988,pose
0,1,10,50,400,8,1782742588.6326,pose
0,1,10,50,400,9,1782742590.1845,pose
1,1,10,50,400,0,1782742591.4736,pose
1,1,10,50,400,1,1782742593.039,pose
1,1,10,50,400,2,1782742594.7687,pose
1,1,10,50,400,3,1782742596.3051,pose
1,1,10,50,400,4,1782742598.957,pose
1,1,10,50,400,5,1782742600.9422,pose
1,1,10,50,400,6,1782742602.632,pose
1,1,10,50,400,7,1782742604.6418,pose
1,1,10,50,400,8,1782742606.0176,pose
1,1,10,50,400,9,1782742607.6201,pose
2,1,10,50,400,0,1782742608.6283,pose
2,1,10,50,400,1,1782742610.1408,pose
2,1,10,50,400,2,1782742612.1521,pose
2,1,10,50,400,3,1782742615.1694,pose
2,1,10,50,400,4,1782742618.1906,pose
2,1,10,50,400,5,1782742620.7067,pose
2,1,10,50,400,6,1782742622.244,pose
2,1,10,50,400,7,1782742624.2564,pose
2,1,10,50,400,8,1782742625.907,pose
2,1,10,50,400,9,1782742627.422,pose
0,1,10,40,350,0,1782742628.4274,pose
0,1,10,40,350,1,1782742629.9606,pose
0,1,10,40,350,2,1782742631.9702,pose
0,1,10,40,350,3,1782742633.478,pose
0,1,10,40,350,4,1782742635.492,pose
0,1,10,40,350,5,1782742639.0563,pose
0,1,10,40,350,6,1782742641.2718,pose
0,1,10,40,350,7,1782742642.7792,pose
0,1,10,40,350,8,1782742644.3438,pose
0,1,10,40,350,9,1782742646.3578,pose
1,1,10,40,350,0,1782742647.3649,pose
1,1,10,40,350,1,1782742650.4197,pose
1,1,10,40,350,2,1782742653.0127,pose
1,1,10,40,350,3,1782742654.5509,pose
1,1,10,40,350,4,1782742656.0793,pose
1,1,10,40,350,5,1782742659.5958,pose
1,1,10,40,350,6,1782742661.6319,pose
1,1,10,40,350,7,1782742663.4638,pose
1,1,10,40,350,8,1782742665.0174,pose
1,1,10,40,350,9,1782742667.0699,pose
2,1,10,40,350,0,1782742669.0821,pose
2,1,10,40,350,1,1782742671.1205,pose
2,1,10,40,350,2,1782742673.1351,pose
2,1,10,40,350,3,1782742675.2154,pose
2,1,10,40,350,4,1782742676.2283,pose
2,1,10,40,350,5,1782742677.7768,pose
2,1,10,40,350,6,1782742679.0265,pose
2,1,10,40,350,7,1782742680.6718,pose
2,1,10,40,350,8,1782742682.8483,pose
2,1,10,40,350,9,1782742683.9201,pose
0,1,10,50,300,0,1782742689.5522,pose
0,1,10,50,300,1,1782742691.897,pose
0,1,10,50,300,2,1782742693.2571,pose
0,1,10,50,300,3,1782742696.2847,pose
0,1,10,50,300,4,1782742697.9265,pose
0,1,10,50,300,5,1782742700.2723,pose
0,1,10,50,300,6,1782742701.8579,pose
0,1,10,50,300,7,1782742703.4837,pose
0,1,10,50,300,8,1782742704.9895,pose
0,1,10,50,300,9,1782742706.5821,pose
1,1,10,50,300,0,1782742707.5875,pose
1,1,10,50,300,1,1782742709.2602,pose
1,1,10,50,300,2,1782742710.8432,pose
1,1,10,50,300,3,1782742711.8489,pose
1,1,10,50,300,4,1782742714.3558,pose
1,1,10,50,300,5,1782742715.4372,pose
1,1,10,50,300,6,1782742717.0359,pose
1,1,10,50,300,7,1782742718.5484,pose
1,1,10,50,300,8,1782742719.5573,pose
1,1,10,50,300,9,1782742721.0627,pose
2,1,10,50,300,0,1782742722.0649,pose
2,1,10,50,300,1,1782742723.0713,pose
2,1,10,50,300,2,1782742725.0845,pose
2,1,10,50,300,3,1782742727.6001,pose
2,1,10,50,300,4,1782742729.1045,pose
2,1,10,50,300,5,1782742730.6151,pose
2,1,10,50,300,6,1782742732.1363,pose
2,1,10,50,300,7,1782742733.6414,pose
2,1,10,50,300,8,1782742735.1582,pose
2,1,10,50,300,9,1782742736.6754,pose
0,1,10,40,300,0,1782742744.3397,pose
0,1,10,40,300,1,1782742745.8915,pose
0,1,10,40,300,2,1782742749.5722,pose
0,1,10,40,300,3,1782742751.1179,pose
0,1,10,40,300,4,1782742753.6,pose
0,1,10,40,300,5,1782742755.3644,pose
0,1,10,40,300,6,1782742763.2078,pose
0,1,10,40,300,7,1782742764.7105,pose
0,1,10,40,300,8,1782742773.0704,pose
0,1,10,40,300,9,1782742774.31,pose
1,1,10,40,300,0,1782742775.7981,pose
1,1,10,40,300,1,1782742777.9055,pose
1,1,10,40,300,2,1782742780.0213,pose
1,1,10,40,300,3,1782742782.5386,pose
1,1,10,40,300,4,1782742784.0962,pose
1,1,10,40,300,5,1782742785.7913,pose
1,1,10,40,300,6,1782742787.8069,pose
1,1,10,40,300,7,1782742790.8264,pose
1,1,10,40,300,8,1782742792.3369,pose
1,1,10,40,300,9,1782742794.025,pose
2,1,10,40,300,0,1782742796.0383,pose
2,1,10,40,300,1,1782742797.55,pose
2,1,10,40,300,2,1782742799.0571,pose
2,1,10,40,300,3,1782742800.5656,pose
2,1,10,40,300,4,1782742803.1018,pose
2,1,10,40,300,5,1782742805.1093,pose
2,1,10,40,300,6,1782742806.6234,pose
2,1,10,40,300,7,1782742808.6363,pose
2,1,10,40,300,8,1782742811.1492,pose
2,1,10,40,300,9,1782742815.174,pose
