iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,3,10,30,300,0,1782817205.0278,pose
1,3,10,30,300,1,1782817207.9437,pose
1,3,10,30,300,2,1782817212.7179,pose
1,3,10,30,300,3,1782817215.4335,pose
1,3,10,30,300,4,1782817234.6176,pose
1,3,10,30,300,5,1782817237.0515,pose
1,3,10,30,300,6,1782817245.9844,pose
1,3,10,30,300,7,1782817248.553,pose
1,3,10,30,300,8,1782817251.0199,pose
1,3,10,30,300,9,1782817253.2967,pose
2,3,10,30,300,0,1782817254.8063,pose
2,3,10,30,300,1,1782817256.827,pose
2,3,10,30,300,2,1782817257.947,pose
2,3,10,30,300,3,1782817260.1533,pose
2,3,10,30,300,4,1782817263.0251,pose
2,3,10,30,300,5,1782817265.1855,pose
2,3,10,30,300,6,1782817267.203,pose
2,3,10,30,300,7,1782817269.2194,pose
2,3,10,30,300,8,1782817271.7372,pose
2,3,10,30,300,9,1782817273.2511,pose
0,3,10,30,400,0,1782817274.7547,pose
0,3,10,30,400,1,1782817277.2731,pose
0,3,10,30,400,2,1782817279.9095,pose
0,3,10,30,400,3,1782817282.2817,pose
0,3,10,30,400,4,1782817284.0057,pose
0,3,10,30,400,5,1782817286.3441,pose
0,3,10,30,400,6,1782817290.6657,pose
0,3,10,30,400,7,1782817293.822,pose
0,3,10,30,400,8,1782817297.8149,pose
0,3,10,30,400,9,1782817300.1743,pose
1,3,10,30,400,0,1782817301.4939,pose
1,3,10,30,400,1,1782817305.1329,pose
1,3,10,30,400,2,1782817307.3075,pose
1,3,10,30,400,3,1782817309.2877,pose
1,3,10,30,400,4,1782817311.569,pose
1,3,10,30,400,5,1782817314.2526,pose
1,3,10,30,400,6,1782817317.1232,pose
1,3,10,30,400,7,1782817319.3935,pose
1,3,10,30,400,8,1782817321.1025,pose
1,3,10,30,400,9,1782817323.7972,pose
2,3,10,30,400,0,1782817325.311,pose
2,3,10,30,400,1,1782817327.6662,pose
2,3,10,30,400,2,1782817332.9333,pose
2,3,10,30,400,3,1782817335.4514,pose
2,3,10,30,400,4,1782817337.1213,pose
2,3,10,30,400,5,1782817339.2602,pose
2,3,10,30,400,6,1782817341.2797,pose
2,3,10,30,400,7,1782817343.7953,pose
2,3,10,30,400,8,1782817346.3209,pose
2,3,10,30,400,9,1782817348.3361,pose
