iteration,pid,path_w,path_d,success,start_timestamp,end_timestamp,input_mode
1,1,50,1000,False,1782744091.6765,1782744094.8787,pose
2,1,50,1000,False,1782744097.5769,1782744097.8768,pose
3,1,50,1000,False,1782744100.5106,1782744105.629,pose
